iter	RMSE
0	329185.9366
1	328119.4812
2	327032.444
3	325988.613
4	325282.6912
5	324207.7391
6	323083.2432
7	321972.1121
8	320855.4391
9	319791.8632
10	318764.3657
11	317742.7906
12	316640.4042
13	315517.511
14	314499.4095
15	313438.9273
16	312823.0814
17	311783.401
18	310726.8809
19	309608.4982
20	308564.1731
21	307379.6572
22	306364.9922
23	305345.3632
24	304759.356
25	303729.9519
26	303138.1209
27	302139.0777
28	301007.7508
29	300077.4363
30	299489.5611
31	298884.271
32	298101.1868
33	297071.8087
34	296173.7938
35	295430.5798
36	294527.8237
37	293928.6074
38	293030.7581
39	292120.6977
40	291071.8005
41	290324.2479
42	289459.7687
43	288573.6735
44	287747.7994
45	286753.6143
46	285790.6106
47	284781.9835
48	283938.6529
49	283274.4092
50	282408.3158
51	281840.0246
52	281252.7677
53	280257.7753
54	279323.6223
55	278794.3307
56	277990.0632
57	277053.115
58	276118.4984
59	275306.8796
60	274478.7033
61	273536.2184
62	272637.1462
63	271773.6044
64	270812.3398
65	269893.872
66	269223.9295
67	268682.9214
68	267635.7055
69	266720.3331
70	265953.9053
71	265131.7713
72	264511.1391
73	263697.6832
74	263204.5157
75	262245.4027
76	261325.6063
77	260341.1966
78	259934.8888
79	259023.5943
80	258280.1617
81	257535.8603
82	256736.5649
83	255993.4209
84	255598.3932
85	255022.4978
86	254610.7784
87	254101.8045
88	253286.5473
89	252816.4622
90	252073.4952
91	251345.8432
92	250638.3195
93	249788.8102
94	249006.7494
95	248525.1038
96	247716.3593
97	246961.9243
98	246093.8768
99	245413.304
100	244667.7284
101	244220.7605
102	243413.9167
103	243045.069
104	242255.5342
105	241760.5557
106	240879.7433
107	240433.5202
108	239690.1136
109	238841.8099
110	238055.6363
111	237639.4913
112	236968.3356
113	236423.3904
114	235838.4628
115	235196.5583
116	234388.2562
117	233598.4673
118	232871.8758
119	232128.9789
120	231316.6163
121	230599.3236
122	229836.1483
123	229194.7797
124	228835.4716
125	228452.4018
126	227850.0149
127	227237.2809
