iter	Passed	Remaining
0	47	470953
1	47	238396
2	48	161781
3	48	121993
4	49	98886
5	50	83407
6	50	72365
7	51	64103
8	51	57603
9	52	52354
10	53	48141
11	53	44574
12	54	41616
13	54	39046
14	56	37803
15	58	36279
16	58	34438
17	59	33121
18	60	31655
19	61	30463
20	61	29248
21	62	28204
22	62	27149
23	63	26246
24	63	25385
25	63	24500
26	64	23863
27	65	23223
28	65	22621
29	66	22060
30	66	21470
31	67	20971
32	67	20528
33	68	20084
34	68	19612
35	69	19136
36	69	18766
37	70	18408
38	70	18015
39	70	17676
40	71	17387
41	72	17074
42	72	16798
43	73	16535
44	73	16277
45	74	16043
46	74	15815
47	75	15597
48	75	15394
49	77	15355
50	77	15138
51	78	14961
52	78	14795
53	79	14630
54	79	14460
55	80	14282
56	80	14082
57	81	13928
58	81	13779
59	82	13638
60	82	13499
61	83	13368
62	83	13245
63	84	13114
64	84	12990
65	85	12880
66	86	12764
67	86	12658
68	87	12551
69	87	12449
70	88	12345
71	88	12243
72	89	12112
73	89	12019
74	90	11928
75	90	11844
76	91	11756
77	91	11676
78	92	11574
79	92	11486
80	93	11408
81	93	11332
82	94	11265
83	94	11200
84	95	11111
85	95	11020
86	95	10923
87	96	10852
88	96	10785
89	97	10726
90	97	10665
91	98	10606
92	99	10549
93	99	10500
94	100	10441
95	100	10386
96	101	10330
97	101	10279
98	102	10223
99	102	10162
100	103	10120
101	103	10075
102	104	10032
103	104	9983
104	105	9936
105	106	9901
106	106	9857
107	107	9814
108	107	9778
109	108	9736
110	108	9696
111	109	9654
112	109	9613
113	110	9564
114	111	9575
115	111	9533
116	112	9486
117	112	9437
118	113	9392
119	113	9344
120	113	9298
121	114	9253
122	114	9213
123	115	9173
124	115	9118
125	115	9080
126	116	9036
127	116	8993
128	117	8954
129	117	8924
130	117	8886
131	118	8827
132	118	8782
133	118	8742
134	119	8702
135	119	8664
136	119	8633
137	120	8596
138	120	8561
139	121	8540
140	121	8507
141	122	8470
142	122	8443
143	122	8412
144	123	8387
145	123	8355
146	124	8325
147	124	8295
148	125	8268
149	125	8238
150	125	8209
151	126	8184
152	126	8157
153	127	8128
154	127	8105
155	127	8076
156	128	8049
157	128	8022
158	129	7994
159	129	7958
160	129	7931
161	130	7903
162	130	7878
163	130	7851
164	131	7827
165	131	7802
166	132	7777
167	132	7750
168	132	7724
169	133	7698
170	133	7668
171	133	7642
172	134	7620
173	134	7582
174	134	7553
175	134	7529
176	135	7507
177	135	7482
178	135	7461
179	136	7441
180	137	7453
181	137	7434
182	138	7412
183	138	7397
184	139	7381
185	139	7362
186	140	7354
187	140	7319
188	140	7300
189	141	7280
190	141	7263
191	141	7243
192	142	7223
193	142	7205
194	143	7213
195	143	7188
196	144	7176
197	144	7170
198	145	7154
199	145	7133
200	145	7117
201	146	7097
202	146	7087
203	147	7073
204	147	7058
205	148	7039
206	148	7025
207	148	7011
208	149	6996
209	149	6980
210	150	6965
211	150	6951
212	150	6928
213	151	6914
214	151	6899
215	152	6885
216	152	6874
217	152	6860
218	153	6838
219	153	6826
220	153	6812
221	154	6789
222	154	6774
223	154	6753
224	155	6769
225	156	6761
226	156	6758
227	157	6747
228	157	6740
229	158	6734
230	159	6729
231	159	6726
232	160	6720
233	160	6713
234	161	6705
235	161	6699
236	162	6693
237	163	6687
238	163	6676
239	163	6660
240	164	6656
241	164	6646
242	165	6638
243	165	6622
244	166	6615
245	166	6609
246	167	6602
247	167	6593
248	168	6597
249	169	6596
